# vertices of the finite torus cover E_N x E_N for m6: id: (p, q) integer coordinates
0: 0,0 ; 0,0
1: 0,0 ; 3,-3
2: 0,0 ; 3,4
3: 0,0 ; 3,6
4: 0,0 ; 4,1
5: 0,0 ; 5,-3
6: 0,0 ; 6,-6
7: 0,0 ; 6,0
8: 0,0 ; 6,3
9: 0,0 ; 6,6
10: 0,0 ; 6,12
11: 0,0 ; 7,9
12: 0,0 ; 8,5
13: 0,0 ; 9,-9
14: 0,0 ; 9,-2
15: 0,0 ; 9,0
16: 0,0 ; 9,2
17: 0,0 ; 9,9
18: 0,0 ; 9,16
19: 0,0 ; 9,18
20: 0,0 ; 10,-5
21: 0,0 ; 10,13
22: 0,0 ; 11,-9
23: 0,0 ; 11,9
24: 0,0 ; 12,-6
25: 0,0 ; 12,-3
26: 0,0 ; 12,0
27: 0,0 ; 12,6
28: 0,0 ; 12,12
29: 0,0 ; 12,15
30: 0,0 ; 12,18
31: 0,0 ; 13,3
32: 0,0 ; 13,21
33: 0,0 ; 14,-1
34: 0,0 ; 14,17
35: 0,0 ; 15,-4
36: 0,0 ; 15,3
37: 0,0 ; 15,10
38: 0,0 ; 15,12
39: 0,0 ; 15,14
40: 0,0 ; 16,7
41: 0,0 ; 17,3
42: 0,0 ; 18,6
43: 0,0 ; 18,9
44: 0,0 ; 18,12
45: 0,0 ; 19,15
46: 0,0 ; 20,11
47: 0,0 ; 21,8
48: 3,-3 ; 0,0
49: 3,-3 ; 3,-3
50: 3,-3 ; 3,4
51: 3,-3 ; 3,6
52: 3,-3 ; 4,1
53: 3,-3 ; 5,-3
54: 3,-3 ; 6,-6
55: 3,-3 ; 6,0
56: 3,-3 ; 6,3
57: 3,-3 ; 6,6
58: 3,-3 ; 6,12
59: 3,-3 ; 7,9
60: 3,-3 ; 8,5
61: 3,-3 ; 9,-9
62: 3,-3 ; 9,-2
63: 3,-3 ; 9,0
64: 3,-3 ; 9,2
65: 3,-3 ; 9,9
66: 3,-3 ; 9,16
67: 3,-3 ; 9,18
68: 3,-3 ; 10,-5
69: 3,-3 ; 10,13
70: 3,-3 ; 11,-9
71: 3,-3 ; 11,9
72: 3,-3 ; 12,-6
73: 3,-3 ; 12,-3
74: 3,-3 ; 12,0
75: 3,-3 ; 12,6
76: 3,-3 ; 12,12
77: 3,-3 ; 12,15
78: 3,-3 ; 12,18
79: 3,-3 ; 13,3
80: 3,-3 ; 13,21
81: 3,-3 ; 14,-1
82: 3,-3 ; 14,17
83: 3,-3 ; 15,-4
84: 3,-3 ; 15,3
85: 3,-3 ; 15,10
86: 3,-3 ; 15,12
87: 3,-3 ; 15,14
88: 3,-3 ; 16,7
89: 3,-3 ; 17,3
90: 3,-3 ; 18,6
91: 3,-3 ; 18,9
92: 3,-3 ; 18,12
93: 3,-3 ; 19,15
94: 3,-3 ; 20,11
95: 3,-3 ; 21,8
96: 3,4 ; 0,0
97: 3,4 ; 3,-3
98: 3,4 ; 3,4
99: 3,4 ; 3,6
100: 3,4 ; 4,1
101: 3,4 ; 5,-3
102: 3,4 ; 6,-6
103: 3,4 ; 6,0
104: 3,4 ; 6,3
105: 3,4 ; 6,6
106: 3,4 ; 6,12
107: 3,4 ; 7,9
108: 3,4 ; 8,5
109: 3,4 ; 9,-9
110: 3,4 ; 9,-2
111: 3,4 ; 9,0
112: 3,4 ; 9,2
113: 3,4 ; 9,9
114: 3,4 ; 9,16
115: 3,4 ; 9,18
116: 3,4 ; 10,-5
117: 3,4 ; 10,13
118: 3,4 ; 11,-9
119: 3,4 ; 11,9
120: 3,4 ; 12,-6
121: 3,4 ; 12,-3
122: 3,4 ; 12,0
123: 3,4 ; 12,6
124: 3,4 ; 12,12
125: 3,4 ; 12,15
126: 3,4 ; 12,18
127: 3,4 ; 13,3
128: 3,4 ; 13,21
129: 3,4 ; 14,-1
130: 3,4 ; 14,17
131: 3,4 ; 15,-4
132: 3,4 ; 15,3
133: 3,4 ; 15,10
134: 3,4 ; 15,12
135: 3,4 ; 15,14
136: 3,4 ; 16,7
137: 3,4 ; 17,3
138: 3,4 ; 18,6
139: 3,4 ; 18,9
140: 3,4 ; 18,12
141: 3,4 ; 19,15
142: 3,4 ; 20,11
143: 3,4 ; 21,8
144: 3,6 ; 0,0
145: 3,6 ; 3,-3
146: 3,6 ; 3,4
147: 3,6 ; 3,6
148: 3,6 ; 4,1
149: 3,6 ; 5,-3
150: 3,6 ; 6,-6
151: 3,6 ; 6,0
152: 3,6 ; 6,3
153: 3,6 ; 6,6
154: 3,6 ; 6,12
155: 3,6 ; 7,9
156: 3,6 ; 8,5
157: 3,6 ; 9,-9
158: 3,6 ; 9,-2
159: 3,6 ; 9,0
160: 3,6 ; 9,2
161: 3,6 ; 9,9
162: 3,6 ; 9,16
163: 3,6 ; 9,18
164: 3,6 ; 10,-5
165: 3,6 ; 10,13
166: 3,6 ; 11,-9
167: 3,6 ; 11,9
168: 3,6 ; 12,-6
169: 3,6 ; 12,-3
170: 3,6 ; 12,0
171: 3,6 ; 12,6
172: 3,6 ; 12,12
173: 3,6 ; 12,15
174: 3,6 ; 12,18
175: 3,6 ; 13,3
176: 3,6 ; 13,21
177: 3,6 ; 14,-1
178: 3,6 ; 14,17
179: 3,6 ; 15,-4
180: 3,6 ; 15,3
181: 3,6 ; 15,10
182: 3,6 ; 15,12
183: 3,6 ; 15,14
184: 3,6 ; 16,7
185: 3,6 ; 17,3
186: 3,6 ; 18,6
187: 3,6 ; 18,9
188: 3,6 ; 18,12
189: 3,6 ; 19,15
190: 3,6 ; 20,11
191: 3,6 ; 21,8
192: 4,1 ; 0,0
193: 4,1 ; 3,-3
194: 4,1 ; 3,4
195: 4,1 ; 3,6
196: 4,1 ; 4,1
197: 4,1 ; 5,-3
198: 4,1 ; 6,-6
199: 4,1 ; 6,0
200: 4,1 ; 6,3
201: 4,1 ; 6,6
202: 4,1 ; 6,12
203: 4,1 ; 7,9
204: 4,1 ; 8,5
205: 4,1 ; 9,-9
206: 4,1 ; 9,-2
207: 4,1 ; 9,0
208: 4,1 ; 9,2
209: 4,1 ; 9,9
210: 4,1 ; 9,16
211: 4,1 ; 9,18
212: 4,1 ; 10,-5
213: 4,1 ; 10,13
214: 4,1 ; 11,-9
215: 4,1 ; 11,9
216: 4,1 ; 12,-6
217: 4,1 ; 12,-3
218: 4,1 ; 12,0
219: 4,1 ; 12,6
220: 4,1 ; 12,12
221: 4,1 ; 12,15
222: 4,1 ; 12,18
223: 4,1 ; 13,3
224: 4,1 ; 13,21
225: 4,1 ; 14,-1
226: 4,1 ; 14,17
227: 4,1 ; 15,-4
228: 4,1 ; 15,3
229: 4,1 ; 15,10
230: 4,1 ; 15,12
231: 4,1 ; 15,14
232: 4,1 ; 16,7
233: 4,1 ; 17,3
234: 4,1 ; 18,6
235: 4,1 ; 18,9
236: 4,1 ; 18,12
237: 4,1 ; 19,15
238: 4,1 ; 20,11
239: 4,1 ; 21,8
240: 5,-3 ; 0,0
241: 5,-3 ; 3,-3
242: 5,-3 ; 3,4
243: 5,-3 ; 3,6
244: 5,-3 ; 4,1
