# link of vertex 2 in cp2_10; 22 facets on vertices [1, 3, 4, 5, 6, 7, 8, 9, 10]
1,3,5,7
1,3,5,8
1,3,7,8
1,4,5,9
1,4,5,10
1,4,9,10
1,5,6,8
1,5,6,9
1,5,7,10
1,6,7,8
1,6,7,10
1,6,9,10
3,4,5,8
3,4,5,10
3,4,8,10
3,5,7,10
3,7,8,10
4,5,8,9
4,8,9,10
5,6,8,9
6,7,8,10
6,8,9,10
# minimal nonfaces (generators of the Stanley--Reisner ideal):
# MNF 3,6
# MNF 3,9
# MNF 4,6
# MNF 4,7
# MNF 7,9
# MNF 1,3,4
# MNF 1,3,10
# MNF 1,4,8
# MNF 1,8,9
# MNF 1,8,10
# MNF 5,6,7
# MNF 5,6,10
# MNF 5,7,8
# MNF 5,8,10
# MNF 5,9,10
