ita_number	hermann_mauguin	hall_symbol	setting	primitive_basis_columns_in_conventional_coordinates	centring_vectors	in_jbd_figure_2_8	point_group_hm	point_group_type	point_group_order	arithmetic_class	lattice_index_conventional_in_full	symmorphic	stage1_status	generators_primitive_basis	h11	h21	euler	resolution_status	literature_match	literature_h11_h21	agrees_with_literature	pi1_order_A_mod_G	evidence
16	P 2 2 2	P 2 2	ITA standard setting (spglib Hall number 108); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	222	Z2xZ2	4	222P	1	True	audited (linear/symmorphic)	[-1,0,0,0,-1,0,0,0,1 | 0,0,0]; [1,0,0,0,-1,0,0,0,-1 | 0,0,0]	51	3	96	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D4(1) (Table 1/2, arXiv:0812.3758); Burek G_4.1 (arXiv:2112.03970)	[51, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
17	P 2 2 2_1	P 2c 2	ITA standard setting (spglib Hall number 109); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	222	Z2xZ2	4	222P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[-1,0,0,0,-1,0,0,0,1 | 0,0,1/2]; [1,0,0,0,-1,0,0,0,-1 | 0,0,0]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
21	C 2 2 2	C 2 2	ITA standard setting (spglib Hall number 119); origin: ITA standard origin	1/2,1/2,0; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,0	True	222	Z2xZ2	4	222C	2	True	audited (linear/symmorphic)	[-1,0,0,0,-1,0,0,0,1 | 0,0,0]; [1,0,0,-1,-1,0,0,0,-1 | 0,0,0]	21	9	24	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D4(2) (Table 1/2, arXiv:0812.3758); Burek G_4.2 (arXiv:2112.03970)	[21, 9]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
22	F 2 2 2	F 2 2	ITA standard setting (spglib Hall number 122); origin: ITA standard origin	1/2,0,1/2; 0,1/2,1/2; 0,0,1	0,0,0; 0,1/2,1/2; 1/2,0,1/2; 1/2,1/2,0	True	222	Z2xZ2	4	222F	4	True	audited (linear/symmorphic)	[-1,0,0,0,-1,0,1,1,1 | 0,0,0]; [1,0,0,0,-1,0,-1,0,-1 | 0,0,0]	15	3	24	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D4(4) (Table 1/2, arXiv:0812.3758); Burek G_4.3 (arXiv:2112.03970)	[15, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
24	I 2_1 2_1 2_1	I 2b 2c	ITA standard setting (spglib Hall number 124); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	222	Z2xZ2	4	222I	2	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[-1,0,0,0,-1,0,1,0,1 | 0,1/2,0]; [1,0,0,-1,-1,0,-1,0,-1 | 0,0,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
89	P 4 2 2	P 4 2	ITA standard setting (spglib Hall number 366); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	422	D4 (order 8)	8	422P	1	True	audited (linear/symmorphic)	[0,-1,0,1,0,0,0,0,1 | 0,0,0]; [1,0,0,0,-1,0,0,0,-1 | 0,0,0]	36	6	60	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D8(1) (Table 1/2, arXiv:0812.3758); Burek G_8.1 (arXiv:2112.03970)	[36, 6]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
90	P 4 2_1 2	P 4ab 2ab	ITA standard setting (spglib Hall number 367); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	422	D4 (order 8)	8	422P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 1/2,1/2,0]; [1,0,0,0,-1,0,0,0,-1 | 1/2,1/2,0]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
91	P 4_1 2 2	P 4w 2c	ITA standard setting (spglib Hall number 368); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	422	D4 (order 8)	8	422P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 0,0,1/4]; [1,0,0,0,-1,0,0,0,-1 | 0,0,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
93	P 4_2 2 2	P 4c 2	ITA standard setting (spglib Hall number 370); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	422	D4 (order 8)	8	422P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 0,0,1/2]; [1,0,0,0,-1,0,0,0,-1 | 0,0,0]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
95	P 4_3 2 2	P 4cw 2c	ITA standard setting (spglib Hall number 372); origin: ITA standard origin	1,0,0; 0,1,0; 0,0,1	0,0,0	True	422	D4 (order 8)	8	422P	1	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[0,-1,0,1,0,0,0,0,1 | 0,0,3/4]; [1,0,0,0,-1,0,0,0,-1 | 0,0,1/2]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
97	I 4 2 2	I 4 2	ITA standard setting (spglib Hall number 374); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	422	D4 (order 8)	8	422I	2	True	audited (linear/symmorphic)	[-1,-2,0,1,1,0,1,1,1 | 0,0,0]; [1,0,0,-1,-1,0,-1,0,-1 | 0,0,0]	15	3	24	crepant projective resolution exists (BKR Thm 1.2, G-Hilb); Hodge numbers = orbifold Hodge numbers (Yasuda Thm 1.5 / Batyrev Thm 7.5); strict CY (h10=h20=0)	Donten-Bury D8(2) (Table 1/2, arXiv:0812.3758); Burek G_8.2 (arXiv:2112.03970)	[15, 3]	True	1	output/hodge_numbers_linear.json, output/zclass_matching.json, output/literature_comparison.json, output/crystallographic_data.json
98	I 4_1 2 2	I 4bw 2bw	ITA standard setting (spglib Hall number 375); origin: ITA standard origin	1/2,1/2,1/2; 0,1,0; 0,0,1	0,0,0; 1/2,1/2,1/2	True	422	D4 (order 8)	8	422I	2	False	pending (non-symmorphic; translations retained; not computed in stage 1)	[-1,-2,0,1,1,0,1,1,1 | 0,1/2,1/4]; [1,0,0,-1,-1,0,-1,0,-1 | 0,1/2,1/4]				pending	pending (no individual literature search performed in stage 1)				output/crystallographic_data.json (generators only)
